,Open,High,Low,Close,Volume,Quote Asset Volume,Number of Trades,Taker Buy Base Asset Volume,Taker Buy Quote Asset Volume
138,0.16226763648209008,0.1714462860624284,0.238416216381232,0.1818563991140829,0.03184471829801769,0.029433457754821007,0.04606350322698346,0.042885330989290225,0.03960469220940849
139,0.46149312714040125,0.4978159640220712,0.5182078130882966,0.507897805341611,0.13918807370644595,0.13597914915487036,0.15118569498462522,0.1401774976969523,0.1369973059881289
140,0.8414698961463127,0.8431261531042598,0.8831781502172564,0.8591781149258457,0.06745589196785641,0.0713209127869204,0.04998188870410373,0.06307611132810147,0.06689670574512978
141,0.3550398827306278,0.3481885095380699,0.4047053555982947,0.34609844654738,0.047536832973002915,0.04567370207687019,0.04130697456751018,0.0344903945593413,0.03335013361335566
142,0.549830910937855,0.546127399587089,0.5824973796949253,0.5581366533838095,0.08568068465125576,0.08499517660981606,0.09083938585521009,0.07747386881751264,0.07702668220463885
143,0.42979267837931623,0.42763187637646016,0.49704185364960196,0.4427970554981515,0.02102851514064801,0.02110913142648064,0.021789078756375306,0.027220701791452244,0.027093434548502365
144,0.6390259269895289,0.6377858675972599,0.6975974600848671,0.6626036317292865,0.013402385513470616,0.014839951168731443,0.007289466100148856,0.011842305499412214,0.013333633788951041
145,0.348584923856345,0.35459960775617994,0.42565762025419485,0.37173340177581693,0.01271062064423939,0.012745432145610795,0.013976103665356135,0.013825830646416189,0.013826035796328857
146,0.2570453775893764,0.26771394187816355,0.3196487264808541,0.2682222581151912,0.11177847225180171,0.10478259737563292,0.10277433325313245,0.11745322677790912,0.11012185115487697
147,0.3244216896904968,0.3189144619994968,0.38356381842049014,0.3154409340628952,0.02382599390441928,0.023037247351482396,0.025985082637744995,0.02222150581711152,0.021545812761453
148,0.5653189546909889,0.5670398939090271,0.6269560704582231,0.5827361210369926,0.016996461360999186,0.018005296266189103,0.04143917380762895,0.0201542761411391,0.021151082532579826
149,0.15371245858496696,0.15371996546876598,0.1930457612113443,0.12577855168919427,0.10128545332456192,0.09260670557087447,0.12011094160230767,0.08425575026094535,0.07704912641776507
150,0.3781958689977669,0.3822956381712226,0.4360594682052694,0.37319149218627246,0.043162785951228806,0.041858411581325194,0.040035217877567635,0.037412219299885224,0.03641501739942542
151,0.24287747150774308,0.24562816060899095,0.30711807145546466,0.2514663875865395,0.03340793937508715,0.03144322834342064,0.028425480610337457,0.036065203584791705,0.03393071993091355
152,0.6911927958201352,0.6993005487538406,0.7418465264421856,0.7074238706437059,0.04378243356307748,0.045557255023610715,0.03673816882900557,0.040943858919395906,0.04277229437961266
153,0.7163504194008796,0.7458509774879616,0.7580873299345692,0.7457280606069991,0.09965375739931669,0.10230002466423022,0.10514334363606079,0.10455179699420104,0.10730566110892703
154,0.4815866511793372,0.4933488623422253,0.5374505194818413,0.5132411867395641,0.05958184879478093,0.05888141092004027,0.051071210442682376,0.06469368407844998,0.06388900955252577
155,0.55495501673746,0.5714230356054912,0.6072086373396015,0.5859244492334517,0.07809650971035224,0.07798969829705873,0.07826988210471766,0.07082376103508167,0.07090498894705416
156,0.12398578708922514,0.12230386194395404,0.20728800968749717,0.1258648423204658,0.005363787552536008,0.0049096549308535326,0.008984260358471462,0.006311909147282389,0.005778427120754888
157,0.6322902245519888,0.645198027155673,0.6789001841845508,0.6551538738961993,0.11243500645153134,0.11317616279511974,0.07741851899835281,0.11388615881696826,0.1146946955054545
158,0.3402204801357849,0.3424383270865672,0.416570504014409,0.3572122373390627,0.004466950104203567,0.004884976401914418,0.008304756264260992,0.0053837230186088506,0.005772611690468214
159,0.4579120393983942,0.513578912696687,0.463497878316085,0.5312361022300598,0.3006046425769807,0.2899527331646443,0.3461240504789579,0.3084357381218534,0.29761671173484794
160,0.6014427218838536,0.5980361975169384,0.574083910818044,0.5568245932724283,0.19575256212391476,0.19366794874286444,0.17019065774409928,0.18836479079238197,0.186453842117679
161,0.09714798829020754,0.11218560753659279,0.18510242085661144,0.11814514969211931,0.019755434292186853,0.017941798988400176,0.015520190789943343,0.020728691812113564,0.018826952502640704
162,0.4059123308573609,0.4033308432381002,0.410983911835638,0.37587535207683853,0.15688701272515868,0.15016047957543407,0.1830219159900269,0.12383567630215483,0.11868683862999146
163,0.8622299182629041,0.8958702452277363,0.9132724811999466,0.9296731355139052,0.047252501447316464,0.05093373665308413,0.04088922496873488,0.049642650863624516,0.053499678754128324
164,0.27424359968968126,0.30165960900481625,0.33650619206072996,0.3185341213069268,0.06795149901759165,0.06420745062251568,0.08406814077632682,0.075726609608891,0.07154562367270523
165,0.596978684919999,0.6027551791469241,0.6563177336141894,0.6153915935224497,0.04972587557354116,0.050543512089000604,0.05690912888632716,0.04108660444120179,0.04205160654114849
166,0.6043851715964657,0.6052395335269445,0.6620162611553768,0.6251999619436193,0.04137464317683981,0.04233006823742907,0.03235179804186485,0.037714000097195395,0.03875692196750563
167,0.27881693376594985,0.2789861078519813,0.351057789174833,0.2906047203187887,0.03154680172185521,0.030038339966500224,0.043292607154094075,0.028335856960163885,0.027049927404488232
168,0.5608784916141252,0.5976508427214231,0.6042454030181847,0.5926971574981028,0.15158139064276108,0.15045460697958588,0.15050619089041475,0.15847069549004572,0.15732346718422877
169,0.19481888825548932,0.22703425352039908,0.2758982812833892,0.2293184588935766,0.1248274646125811,0.1160655300099235,0.13073711652305423,0.13575593039559303,0.12622233400226202
170,0.35764372570282266,0.3802698344696642,0.4162123108546778,0.3600000885032113,0.11221122011012313,0.10730963241156238,0.10727175140197293,0.10516177002611632,0.10066596410834289
171,0.5734240856546471,0.6320227682252373,0.6280286147490104,0.6414048999803077,0.16242571741667997,0.16191130667148745,0.17270773127596062,0.18545730282471812,0.18480630599674036
172,0.3639658135777015,0.4286243264364158,0.4403231879191214,0.4394671221631956,0.23194324966925337,0.22296181338994292,0.19203526018132447,0.2683179245383798,0.257806565137459
173,0.6476754004346166,0.6438611258818501,0.6980879404910905,0.6617584260588858,0.012949208889094555,0.014399943096814253,0.029089120795733663,0.009228826984502236,0.010744314296262738
174,0.2526713500122151,0.26010157005169,0.3257257990658484,0.2630979221658505,0.0694164336220895,0.0652478411031843,0.06813548835721292,0.065745127539943,0.06184501620058379
175,0.43173859559639816,0.43091492700863565,0.4845010226821751,0.4257535495319287,0.046781964930535755,0.045781058774516846,0.042245589172353444,0.04522340487297681,0.04431965191310708
