0,1,2,3,4,5,6,7,8,9,10,11
1681221600000,30246.30000000,30280.00000000,29975.00000000,30060.39000000,3782.23203000,1681225199999,113931891.88298280,71036,1655.95993000,49888375.30207110,0
1681225200000,30060.39000000,30246.26000000,30044.65000000,30194.22000000,2335.58014000,1681228799999,70459476.86984300,52512,1252.22241000,37771062.74270710,0
1681228800000,30194.23000000,30263.71000000,30100.00000000,30127.98000000,2242.17770000,1681232399999,67665935.59637270,45856,1120.54304000,33817927.15001700,0
1681232400000,30127.98000000,30220.00000000,30040.00000000,30207.57000000,2000.04550000,1681235999999,60258946.03582790,40733,938.21326000,28271872.44622470,0
1681236000000,30207.57000000,30240.00000000,30151.68000000,30230.24000000,1449.53334000,1681239599999,43780322.67780120,30265,734.41884000,22182383.17601370,0
1681239600000,30230.23000000,30550.00000000,30105.01000000,30130.02000000,5278.40357000,1681243199999,160052642.41773900,106579,2763.41212000,83815326.78620840,0
1681243200000,30130.02000000,30173.76000000,29940.00000000,30164.23000000,3409.71736000,1681246799999,102553960.95595940,63405,1646.14378000,49521584.65726090,0
1681246800000,30164.24000000,30239.59000000,30130.23000000,30189.52000000,1346.11191000,1681250399999,40628968.64765330,31696,710.66711000,21449234.30661220,0
1681250400000,30189.51000000,30272.28000000,30147.64000000,30263.75000000,1230.14185000,1681253999999,37165018.11632560,26282,719.21355000,21730100.40207540,0
1681254000000,30263.74000000,30274.19000000,30160.00000000,30200.42000000,1266.59655000,1681257599999,38277110.78676820,26307,593.50479000,17936363.88063210,0
1681257600000,30200.43000000,30350.07000000,30193.67000000,30224.78000000,1803.85075000,1681261199999,54583725.34376680,42860,987.64274000,29881530.98409210,0
1681261200000,30224.77000000,30292.44000000,30122.72000000,30170.80000000,1688.66019000,1681264799999,50998274.64275550,39025,812.11553000,24527667.99118600,0
1681264800000,30170.80000000,30170.80000000,29811.82000000,29916.16000000,5625.33965000,1681268399999,168540598.83834200,100963,2518.73553000,75456589.25544200,0
1681268400000,29916.16000000,29989.19000000,29858.19000000,29922.04000000,2277.12119000,1681271999999,68146359.65586730,46435,1202.31434000,35981515.53244120,0
1681272000000,29922.04000000,29995.35000000,29887.03000000,29978.58000000,1539.74214000,1681275599999,46108397.54976870,29237,819.31869000,24535030.69843320,0
1681275600000,29978.59000000,29999.23000000,29891.46000000,29920.00000000,1493.93185000,1681279199999,44727355.21708940,30015,685.80936000,20532732.96936260,0
1681279200000,29919.99000000,29956.81000000,29850.00000000,29932.89000000,1412.52475000,1681282799999,42246348.20189690,33554,732.40167000,21905691.83143230,0
1681282800000,29932.88000000,30070.42000000,29924.26000000,29987.00000000,1623.28548000,1681286399999,48689872.87226510,39182,946.74745000,28396901.35290850,0
